id,route,gold,correct,missing,first_tool,tool_ok,n_calls,n_errors,turns,retrieved,recall3,in_tok,out_tok,latency_s,stop_reason,failure,answer
d1,db,rasr-region-adaptive-sr,0,31.57|28.15,query_db,1,4,1,5,,,3688,738,15.08,end_turn,생성 실패,当前数据库查询结果显示，在2段重构条件下，MRIMCNN和无序选择方法的PSNR值均未找到有效数据（结果为 `null`）。这可能意味着相关的实验数据尚未录入或不符合查询条件。  为了进一步确认，请检查以下几点： 1. 确认实验是否已经进行了2段重构条件下的测试。 2. 确认MRIMCNN和无序选择方法的数据是否已正确记录并标记了相应的条件。  如果这些条件满足，建议再次收集或更新数据。如果有其他条件或方法需要比较，请告知我具体细节。
d2,db,,1,,query_db,1,1,0,2,,,928,106,2.19,end_turn,,"PSNR이 30dB를 넘은 프로젝트는 ""rasr-region-adaptive-sr""와 ""gaps-uav-restoration""입니다. (레포명: rasr-region-adaptive-sr, gapes-uav-restoration)"
d3,db,,0,Algorithm-training,query_db,1,1,0,2,,,916,67,1.4,end_turn,생성 실패,"기간이 가장 긴 프로젝트는 ""rasr-region-adaptive-sr""입니다. (레포명: rasr-region-adaptive-sr)"
d4,db,,1,,query_db,1,1,0,2,,,908,76,1.58,end_turn,,주 언어가 Python이 아닌 프로젝트들은 다음과 같습니다:  - digital-modulation-ber - vanilla-rnn-fpga-quantization - Algorithm-training (레포명과 문단 제목)
d5,db,,1,,query_db,1,1,0,2,,,1208,386,7.86,end_turn,,"accuracy 지표로 기록한 프로젝트들은 다음과 같습니다:  - robust-image-classification: Python, classification, 시작일 2026-08-07, 종료일 2026-08-12, 설명: 대역폭·잡음 제약 하 영상 분류 견고성. ResNet-18, 4클래스. - tre-deepfake-detection: Python, deepfake-detection, 시작일 2026-08-13, 종료일 2026-08-17, 설명: 확산모델 시간적 재구성오차(TRE)로 AI 생성 영상 탐지 재검증. 결론은 음성. - vanilla-rnn-fpga-quantization: C, quantization, 시작일 2026-07-30, 종료일 2026-08-26, 설명: vanilla RNN을 고정소수점 int16으로 양자화해 FPGA용 C 헤더 생성. - yopar-attribute-recognition: Python, attribute-recognition, 시작일 2026-08-06, 종료일 2026-08-17, 설명: 인상착의 검색용 PAR 모델 학습. 성별/상의색/하의색/소매 4속성.   레포명과 문단 제목: repos(name, la"
d6,db,vanilla-rnn-fpga-quantization,1,,query_db,1,1,0,2,,,990,168,3.45,end_turn,,"RNN 양자화에서 Q1.15의 정수 데이터패스 정확도는 0.6272이고, Q4.12의 정수 데이터패스 정확도는 0.675입니다. (레포명: metrics, metrics.name: 'accuracy', metrics.condition: '%Q1.15%', '%Q4.12%')"
d7,db,,1,,query_db,1,1,0,2,,,944,102,2.09,end_turn,,"MSE가 정확히 0으로 측정된 조건이 있는 프로젝트는 ""depth16-rgb-mapping""과 ""jpeg-dct-compression""입니다. (레포명과 문단 제목)"
d8,db,yopar-attribute-recognition,0,0.885,query_db,1,1,0,2,,,925,91,1.9,end_turn,생성 실패,인상착의 속성 인식에서 실제로 채택한 버전의 평균 정확도를 찾는 데 필요한 데이터가 없습니다. 현재 데이터베이스에는 해당 정보가 포함되어 있지 않습니다.
d9,db,digital-modulation-ber,0,256|19.3,query_db,1,1,0,2,,,964,127,2.63,end_turn,생성 실패,현재 데이터베이스에는 AWGN 환경에서 BER가 1e-3에 도달하기 위해 필요한 Eb/No 값에 대한 정보가 없습니다. 다른 변조 방식이나 조건에 대한 데이터를 찾을 수 있습니다.
d10,db,gaps-uav-restoration,0,43.92,query_db,1,1,0,2,,,937,100,2.06,end_turn,생성 실패,"잡음 제거 실험에서 PSNR이 가장 높게 나온 조건은 ""임펄스 p=0.05, median 3x3 (기준 잡음영상)""입니다. (레포명: metrics, 문단 제목: PSNR)"
