id,route,gold,correct,missing,first_tool,tool_ok,n_calls,n_errors,turns,retrieved,recall3,recovered,verifier,in_tok,out_tok,latency_s,stop_reason,failure,answer
d1,db,rasr-region-adaptive-sr,0,31.57|28.15,query_db,1,1,0,2,,0,0,0,1793,189,4.58,end_turn,생성 실패,"조회한 결과, MRIMCNN을 사용한 2단 재구성에서 무작위 선택 대비 PSNR 개선치를 찾는 데 필요한 데이터가 없습니다. MRIMCNN과 관련된 프로젝트 중 2단 재구성을 수행한 것이 없거나, 명확한 PSNR 측정 결과가 없다는 것을 의미합니다. 다른 조건을 넓혀 다시 시도해 보시거나, MRIMCNN을 사용한 2단 재구성에 대한 추가 정보를 제공해 주시면 도와드리겠습니다."
d2,db,,1,,query_db,1,1,0,2,,,0,0,1841,316,6.47,end_turn,,"PSNR이 30dB를 넘은 프로젝트는 다음과 같습니다:  - `gaps-uav-restoration`: Python 언어로 작성된 이미지 복원 프로젝트입니다. UAV 영상에서 잡음 제거와 대역폭 제한 재구성 작업을 수행했습니다. (시작일: 2026-07-29, 종료일: 2026-08-17, 소요일수: 19일) - `rasr-region-adaptive-sr`: Python 언어로 작성된 초해상도 프로젝트입니다. 촬영 예산 제약 하에서 영역 적응형 초해상도를 수행했습니다. (시작일: 2026-08-10, 종료일: 2026-08-17, 소요일수: 7일)  근거: {""name"": ""query_db"", ""arguments"": {""sql"": ""SELECT name, language, domain, started, ended, duration_days, summary FROM repos WHERE name IN (SELECT repo FROM metrics WHERE name = 'PSNR' AND value > 30)""}}"
d3,db,,1,,query_db,1,1,0,2,,,0,0,1652,48,1.05,end_turn,,"기간이 가장 긴 프로젝트는 ""Algorithm-training""입니다."
d4,db,,0,digital-modulation-ber|vanilla-rnn-fpga-quantization|Algorithm-training,query_db,1,6,0,6,,,0,0,9466,1148,23.56,max_turns,루프 미종료,MAX_TURNS
d5,db,,1,,query_db,1,1,0,2,,,0,0,1678,104,2.15,end_turn,,"accuracy를 지표로 기록한 프로젝트는 다음과 같습니다: ""robust-image-classification"", ""tre-deepfake-detection"", ""vanilla-rnn-fpga-quantization"", ""yopar-attribute-recognition"". (레포명과 문단 제목)"
d6,db,vanilla-rnn-fpga-quantization,1,,query_db,1,1,0,2,,0,0,0,1734,123,2.57,end_turn,,"RNN 양자화에서 Q1.15의 정수 데이터패스 정확도는 0.6272이고, Q4.12의 정수 데이터패스 정확도는 0.675입니다."
d7,db,,1,,query_db,1,1,0,2,,,0,0,1686,111,2.31,end_turn,,"MSE가 정확히 0으로 측정된 조건이 있는 프로젝트는 `depth16-rgb-mapping`과 `jpeg-dct-compression`입니다. (레포명: depth16-rgb-mapping, jpeg-dct-compression)"
d8,db,yopar-attribute-recognition,0,0.885,query_db,1,1,0,2,,0,0,0,1667,125,2.57,end_turn,생성 실패,"인상착의 속성 인식에서 채택한 버전들의 평균 정확도를 찾는 데 성공하지 못했습니다. 사용된 쿼리 조건이 잘못되었거나 해당 데이터가 존재하지 않을 가능성이 있습니다. 근거: AVG(value) (레포명: metrics, name: accuracy, condition: '%인상착의%')"
d9,db,digital-modulation-ber,0,256|19.3,query_db,1,5,1,6,,0,0,1,6523,525,10.84,max_turns,루프 미종료,MAX_TURNS
d10,db,gaps-uav-restoration,1,,query_db,1,1,0,2,,0,0,0,1714,123,2.56,end_turn,,"잡음 제거 실험에서 PSNR이 가장 높게 나온 조건은 ""임펄스 p=0.05, median 3x3 (기준 잡음영상)""이며, 그때의 PSNR 값은 43.92 dB입니다. (레포명: noise_reduction, 문단 제목: 실험 결과)"
s1,docs,gaps-uav-restoration,1,,search_docs,1,1,0,2,gaps-uav-restoration,1,0,0,4727,926,19.4,end_turn,,"잡음 종류에 따라 다양한 필터의 성능이 달라졌습니다. 주로 impulse 잡음(p=0.05, p=0.1)과 Gaussian 잡음(std=10, 30, 50)에 대한 실험 결과가 있습니다.  - **Impulse 잡음(p=0.05, p=0.1)**: 이 경우, `Bilateral Filter`가 가장 좋은 성능을 보였습니다. 특히 `Bilateral C=75`가 가장 높은 PSNR 값을 보여주었습니다. - **Gaussian 잡음(std=10, 30, 50)**: 이 경우, `Bilateral Filter` 역시 가장 우수한 성능을 보였습니다. `Bilateral C=75`가 가장 높은 PSNR 값을 보여주었으며, `Bilateral C=30`도 좋은 성능을 보였습니다.  이러한 결과는 `Bilateral Filter`가 잡음을 효과적으로 제거하면서 이미지의 세부 정보를 잘 유지할 수 있기 때문으로 추정됩니다. 특히, `Bilateral Filter`는 공간적 표준 편차가 높은 경우에도 좋은 성능을 보였습니다.   상세한 데이터는 다음과 같습니다:  - **Impulse p=0.05**:    - Initial PSNR: 18.20   - Median: 43."
s2,docs,tre-deepfake-detection,0,wukong|biggan,search_docs,1,1,0,2,tre-deepfake-detection,1,1,0,2808,157,3.34,end_turn,생성 실패,"조건 C는 Temporal Reconstruction Error (TRE) 기반의 딥페이크 탐지 방법에서 통하지만, DNSAMNet 생성기에서는 무너진다는 것을 알 수 있습니다. 이는 ""Method / code layout"" 문서에서 언급되어 있습니다. DNSAMNet은 다른 특징 유형 (U-Net attention maps)을 필요로 하므로, TRE 특징이 DNSAMNet에 적합하지 않아 실패한 것으로 보입니다.  레포명: tre-deepfake-detection, 문단 제목: Method / code layout"
s3,docs,rasr-region-adaptive-sr,1,,search_docs,1,1,0,2,rasr-region-adaptive-sr|gaps-uav-restoration,1,0,0,4666,297,6.38,end_turn,,"UAV가 한 번에 찍는 픽셀 크기는 128² (128 x 128)입니다. 서버가 최종적으로 만드는 해상도는 512² (512 x 512)입니다. 이 정보는 ""RASR: Region-Adaptive Super-Resolution"" 문서에서 얻었습니다.  근거:  - ""RASR"" 문서의 ""Overview"" 섹션: ""A reconnaissance UAV can capture only **128² pixels per shot**, at any altitude — flying high covers the whole scene coarsely, flying low sees a small area sharply."" - ""RASR"" 문서의 ""Overview"" 섹션: ""The server ends up with a 512² reconstruction while the UAV captured and transmitted only 3 × 128² pixels — about 19% of a full-resolution scan."""
s4,docs,vanilla-rnn-fpga-quantization,1,,search_docs,1,1,0,2,vanilla-rnn-fpga-quantization,1,0,0,5973,338,7.35,end_turn,,"Q1.15에서 정확도가 떨어진 원인은 두 가지입니다:  1. **가중치 클리핑**: Q1.15 포맷에서는 `Wx` 값의 38.8%가 `[-1, 1)` 범위를 벗어나 양자화 시점에 ±1로 클리핑됩니다. 이로 인해 약 4.8%p의 정확도 손실이 발생합니다. 2. **tanh 직전 누산값의 포화**: Q1.15에서는 누산값 `z`가 ±1.0으로 잘리는데, `tanh(1.0) = 0.7616`이라 은닉 유닛이 구조적으로 ±0.76을 넘지 못합니다. 이 포화가 전체 은닉 활성값의 55.4%에서 발생하여 추가적인 정확도 손실이 발생합니다.  이 두 요인은 가산적이지 않으며, Q4.12 포맷에서는 두 요인을 모두 해결하여 정확도를 향상시킬 수 있습니다.   근거:  - `실제 단어 리스트` 섹션 (문단에서 제공된 내용) - `2. 오차 원인 분리` 섹션 (문단에서 제공된 내용)"
s5,docs,vanilla-rnn-fpga-quantization,0,66,search_docs,1,1,0,2,vanilla-rnn-fpga-quantization,1,0,0,3295,432,8.97,end_turn,생성 실패,"FPGA에서는 `tanh`를 계산할 수단이 없으므로, 양자화를 거친 후의 입력 `z`가 Q4.12 int16, 즉 유한한 65,536가지 값만 있을 때, `tanh`의 값을 미리 계산해 놓은 룩업 테이블을 사용합니다. 이렇게 하면 실행 시에는 표를 한 번 읽으면 끝이고 곱셈기도 덧셈기도 사용하지 않아 효율적으로 작동합니다. 룩업 테이블은 `results/tanh_lut_study/`에 있습니다.  다음은 tanh 룩업 테이블을 사용한 처리 방법을 요약한 표입니다:  | | float | Q1.15 fixed | | --- | --- | --- | | test accuracy | 1.0000 | **1.0000** | | 예측 일치율 | — | **1.0000 (800/800)** |  이 표는 정밀도(float)와 정수(Q1.15 fixed) 간의 테스트 정확도와 예측 일치율을 비교한 것입니다. 두 값 모두 1.0000으로 동일하며, 이는 양자화가 실제 정밀도와 동일한 성능을 유지한다는 것을 의미합니다.  关于最终表的条目数，文档中没有直接提及。但是根据上述信息，最终的look-up表包含了65,536个条目，这是由于tanh函数在经过量化后输入值范围被限制为Q4.12 in"
