id,route,gold,correct,missing,first_tool,tool_ok,n_calls,n_errors,turns,retrieved,recall3,in_tok,out_tok,latency_s,stop_reason,failure,answer
d1,db,rasr-region-adaptive-sr,0,28.15,query_db,1,2,0,2,,0,1326,226,4.62,end_turn,생성 실패,"MRIMCNN 모델이 무작위 선택 대비 PSNR 값에서 약 0.02 증가했습니다.   첫 번째 질의에서 MRIMCNN 모델의 평균 PSNR 값은 31.57였습니다. 두 번째 질의에서 무작위 선택의 평균 PSNR 값은 31.55였습니다. 이 차이는 0.02입니다. (레포명: metrics, PSNR, SQL 결과 행: avg_psnr 및 avg_random)"
d2,db,,1,,query_db,1,1,0,2,,,1223,117,2.41,end_turn,,"PSNR이 30dB를 넘은 프로젝트는 ""rasr-region-adaptive-sr""와 ""gaps-uav-restoration""입니다. (레포명: rasr-region-adaptive-sr, gpa스무-uav-restoration)"
d3,db,,0,Algorithm-training,query_db,1,1,0,2,,,1202,54,1.14,end_turn,생성 실패,"기간이 가장 긴 프로젝트는 ""rasr-region-adaptive-sr""입니다."
d4,db,,0,digital-modulation-ber|vanilla-rnn-fpga-quantization|Algorithm-training,search_docs,0,1,0,2,gaps-uav-restoration|robust-image-classification|vanilla-rnn-fpga-quantization,,3293,79,1.66,end_turn,도구 선택 실패,주 언어가 Python이 아닌 프로젝트는 없습니다. 위에서 검색한 결과는 모두 Python을 주 언어로 사용하는 프로젝트들입니다.   이 결과는 `search_docs` 함수를 통해 얻었습니다.
d5,db,,1,,query_db,1,1,0,2,,,1224,138,2.82,end_turn,,"accuracy를 지표로 기록한 프로젝트는 다음과 같습니다:  - robust-image-classification - tre-deepfake-detection - vanilla-rnn-fpga-quantization - yopar-attribute-recognition  근거: {""name"": ""query_db"", ""arguments"": {""sql"": ""SELECT DISTINCT r.name FROM repos AS r JOIN metrics AS m ON r.name = m.repo WHERE m.name = 'accuracy'""}}"
d6,db,vanilla-rnn-fpga-quantization,1,,query_db,1,1,0,2,,0,1320,166,3.4,end_turn,,"RNN 양자화에서 Q1.15 정수 데이터패스의 정확도는 0.6272이고, Q4.12 정수 데이터패스의 정확도는 0.675입니다.  근거: metrics(name, condition, value, unit)에서 name='accuracy', condition이 'Q1.15'와 'Q4.12'를 포함하는 행"
d7,db,,1,,query_db,1,1,0,2,,,1232,113,2.32,end_turn,,"MSE가 정확히 0으로 측정된 조건이 있는 프로젝트는 `depth16-rgb-mapping`과 `jpeg-dct-compression`입니다. (레포명: depth16-rgb-mapping, jpeg-dct-compression)"
d8,db,yopar-attribute-recognition,0,0.885,query_db,1,1,0,2,,0,1211,79,1.65,end_turn,생성 실패,인상착의 속성 인식에서 실제로 채택한 버전의 평균 정확도를 찾는 데 성공한 데이터가 없습니다.
d9,db,digital-modulation-ber,0,256|19.3,query_db,1,1,0,2,,0,1249,124,2.54,end_turn,생성 실패,현재 데이터베이스에는 AWGN 환경에서 BER가 1e-3에 도달하는 Eb/No 값에 대한 정보가 없습니다. 다른 조건이나 변조 방식에 대한 데이터를 찾을 수 있습니다.
d10,db,gaps-uav-restoration,0,43.92,query_db,1,1,0,2,,0,1223,100,2.07,end_turn,생성 실패,"잡음 제거 실험에서 PSNR이 가장 높게 나온 조건은 '임펄스 p=0.05, median 3x3 (기준 잡음영상)'입니다. (레포명: metrics, 문단 제목: PSNR)"
s1,docs,gaps-uav-restoration,0,median,search_docs,1,1,0,2,gaps-uav-restoration,1,3796,614,12.64,end_turn,생성 실패,"잡음 종류에 따라 다양한 필터의 성능이 달랐습니다. 특히, 임펄스 잡음(p=0.05, p=0.1)과 가우시안 잡음(std=10, 30, 50)에 대해 3x3과 5x5 커널 크기의 필터들을 비교했습니다.  - **Impulse p=0.05**:    - 3x3 커널에서 **Bilateral C=75** 필터가 가장 높은 PSNR 값을 보였습니다.   - 5x5 커널에서도 **Bilateral C=75** 필터가 가장 높은 PSNR 값을 보였습니다.  - **Impulse p=0.1**:    - 3x3 커널에서 **Bilateral C=45** 필터가 가장 높은 PSNR 값을 보였습니다.   - 5x5 커널에서도 **Bilateral C=45** 필터가 가장 높은 PSNR 값을 보였습니다.  - **Gaussian std=10**:    - 3x3 커널에서 **Bilateral C=75** 필터가 가장 높은 PSNR 값을 보였습니다.   - 5x5 커널에서도 **Bilateral C=75** 필터가 가장 높은 PSNR 값을 보였습니다.  - **Gaussian std=30**:    - 3x3 커널에서 **Bilateral C=45** 필터가 가장 높은 PSN"
s2,docs,tre-deepfake-detection,0,wukong|biggan,,0,0,0,1,,0,569,35,0.74,end_turn,도구 미사용,"leton {""name"": ""search_docs"", ""arguments"": {""query"": ""딥페이크 탐지 조건 C"", ""k"": 5}} </tool_call>"
s3,docs,rasr-region-adaptive-sr,0,128|512,,0,0,0,1,,0,579,118,2.41,end_turn,도구 미사용,"초해상도 프로젝트의 구체적인 정보를 찾을 수 없습니다. 초해상도 프로젝트에서 UAV가 한 번에 찍는 픽셀 크기와 서버가 최종적으로 만드는 해상도에 대한 정보를 제공해 주시면 도움이 될 것 같습니다. 이 정보를 기반으로 프로젝트 문서를 검색하겠습니다.  leton {""name"": ""search_docs"", ""arguments"": {""query"": ""UAV 픽셀 크기"", ""k"": 5}} </tool_call>"
s4,docs,vanilla-rnn-fpga-quantization,0,클리핑|포화,query_db,0,1,0,2,,0,1214,79,1.65,end_turn,도구 선택 실패,현재 데이터에는 Q1.15의 정확도와 관련된 정보가 없습니다. 다른 정보를 제공해 주시면 도와드리겠습니다.
