id,route,gold,correct,missing,first_tool,tool_ok,n_calls,n_errors,turns,retrieved,recall3,recovered,verifier,in_tok,out_tok,latency_s,stop_reason,failure,answer
d1,db,rasr-region-adaptive-sr,0,31.57|28.15,query_db,1,1,0,2,,,0,0,1309,180,7.2,end_turn,생성 실패,"조건에 맞는 데이터가 존재하지 않아 정확한 개선 폭을 제공할 수 없습니다. 조건을 더 넓게 잡아 다시 시도해보세요.   힌트: `condition` 열은 자유 서술 형식이므로 정확한 일치보다는 키워드를 포함하는 행을 찾는 것이 좋습니다. 예를 들어, `LIKE '%키워드%'` 구문을 사용하거나, 특정 `repo`의 모든 행을 가져와서 필요한 정보를 골라낼 수도 있습니다."
d2,db,,1,,query_db,1,1,0,2,,,0,0,1242,210,8.34,end_turn,,"PSNR이 30dB를 넘은 프로젝트는 'rasr-region-adaptive-sr'와 'gaps-uav-restoration'가 있습니다.  - 'rasr-region-adaptive-sr' 프로젝트가 여러 행에서 나왔지만, 이는 동일한 프로젝트를 나타냅니다. - 'gaps-uav-restoration' 프로젝트도 마찬가지입니다.  SQL 결과 행: ['rasr-region-adaptive-sr', 'rasr-region-adaptive-sr', 'rasr-region-adaptive-sr', 'rasr-region-adaptive-sr', 'rasr-region-adaptive-sr', 'gaps-uav-restoration', 'gaps-uav-restoration', 'gaps-uav-restoration', 'gaps-uav-restoration']"
d3,db,,1,,query_db,1,1,0,2,,,0,0,1178,60,2.45,end_turn,,"기간이 가장 긴 프로젝트는 Algorithm-training입니다. (repos, 기간이 가장 긴 프로젝트)"
d4,db,,1,,query_db,1,1,0,2,,,0,0,1176,90,3.63,end_turn,,"주 언어가 Python이 아닌 프로젝트들은 다음과 같습니다:  - digital-modulation-ber - vanilla-rnn-fpga-quantization - Algorithm-training  (레포명: digital-modulation-ber, vanilla-rnn-fpga-quantization, Algorithm-training)"
d5,db,,1,,query_db,1,1,0,2,,,0,0,1194,89,3.58,end_turn,,accuracy를 지표로 기록한 프로젝트는 다음과 같습니다: - robust-image-classification - tre-deepfake-detection - vanilla-rnn-fpga-quantization - yopar-attribute-recognition  (레포명: repo)
d6,db,vanilla-rnn-fpga-quantization,0,0.6272,query_db,1,1,0,2,,,0,0,1239,122,4.89,end_turn,생성 실패,"RNN 양자화에서 Q1.15의 정수 데이터패스 정확도는 0.675이고, Q4.12의 정수 데이터패스 정확도는 1.0이다. (SQL 결과 행)"
d7,db,,1,,query_db,1,1,0,2,,,0,0,1259,144,5.75,end_turn,,"MSE가 정확히 0으로 측정된 조건이 있는 프로젝트는 다음과 같습니다:  - `depth16-rgb-mapping` 프로젝트의 방법3 6/6/4 비트필드, 무손상 채널 조건 - `jpeg-dct-compression` 프로젝트의 3단 sum/difference 변환 왕복(역변환 정확성) 조건  근거: metrics rows"
d8,db,yopar-attribute-recognition,0,0.885,query_db,1,1,0,2,,,0,0,1200,99,3.97,end_turn,생성 실패,검색된 데이터가 없어 실제로 채택한 버전의 평균 정확도를 제공할 수 없습니다. 더 구체적인 조건이나 다른 관련 정보를 제공해 주시면 도움이 될 수 있습니다.
d9,db,digital-modulation-ber,0,256,query_db,1,1,0,3,,,0,1,2023,192,7.68,end_turn,생성 실패,"AWGN 환경에서 BER에 도달하기 위해 가장 많은 Eb/No가 필요한 변조 방식은 'digital-modulation-ber' 프로젝트이며, 그 값은 19.3dB입니다.  sourceMapping: digital-modulation-ber, EbNo, 최대값"
d10,db,gaps-uav-restoration,1,,query_db,1,1,0,2,,,0,0,1232,95,3.84,end_turn,,"PSNR이 가장 높게 나온 조건은 ""임펄스 p=0.05, median 3x3 (기준 잡음영상)""이며, 그때의 PSNR 값은 43.92dB입니다."
s1,docs,gaps-uav-restoration,1,,query_db,,1,0,2,,,0,0,1777,563,22.32,end_turn,,"주어진 데이터에서 각 필터의 성능을 잡음 종류별로 살펴보면 다음과 같습니다:  - **임펄스 노이즈**: `median 3x3` 필터가 가장 좋은 성능을 보였습니다. `p=0.05` 임펄스 노이즈에서는 PSNR이 43.92dB, `p=0.1` 임펄스 노이즈에서는 PSNR이 39.19dB를 기록했습니다. - **가우시안 노이즈**: `bilateral C=30` 필터가 가장 좋은 성능을 보였습니다. `std=10` 가우시안 노이즈에서는 PSNR이 33.03dB를 기록했습니다. - **대역폭 제한**: `gradient 선택 + bicubic` 필터가 가장 좋은 성능을 보였습니다. `256` 대역폭 제한에서는 PSNR이 33.96dB를 기록했습니다.  이러한 결과는 각 필터가 해당 종류의 잡음에 대해 최적화되어 있음을 시사합니다. 예를 들어, 임펄스 노이즈는 갑작스럽게 발생하는 밝기 변화를 포함하므로 중앙값 필터(`median 3x3`)가 효과적입니다. 반면 가우시안 노이즈는 고르게 분포된 잡음이므로 이웃 픽셀의 강도를 고려하는 필터(`bilateral C=30`)가 효과적입니다. 또한 대역폭 제한은 이미지의 고주파 성분을 제한하므로 경계선을 유지하면서 잡음을 "
s2,docs,tre-deepfake-detection,1,,query_db,,1,0,2,,,0,0,1389,332,13.17,end_turn,,"딥페이크 탐지의 조건 C에서는 다음과 같은 결과를 얻었다:  - `tre-deepfake-detection` 프로젝트에서, 조건 C와 eta=0을 사용했을 때 8종 평균 정확도는 0.605였다. - 조건 C에 두 번째 인버터를 추가했을 때 8종 평균 정확도는 0.625로 개선되었다. - 조건 C와 SD 계열 3종(sdv4/sdv5/wukong)을 사용했을 때 정확도는 0.788이었다. - 조건 C와 비SD 5종(adm/biggan/glide/midjourney/vqdm)을 사용했을 때 정확도는 0.495로 낮아졌다.  따라서, 조건 C는 SD 계열 생성기에 대해 더 잘 작동하지만, 비SD 계열 생성기에 대해서는 성능이 저하되는 것으로 보인다.  근거: metrics 테이블, '조건 C' 포함 조건 필터링"
s3,docs,rasr-region-adaptive-sr,0,128|512,,,0,0,1,,,0,0,570,96,3.81,end_turn,도구 미사용,"질문을 정확하게 이해하기 위해 필요한 특정 프로젝트나 데이터 세트의 이름, 그리고 관련된 세부 정보가 필요합니다. 현재 주어진 정보만으로는 UAV가 한 번에 찍는 픽셀 크기와 서버가 최종적으로 만드는 해상도에 대한 구체적인 숫자를 제공할 수 없습니다. 더 자세한 정보를 제공해주시면 도움이 될 것입니다."
s4,docs,vanilla-rnn-fpga-quantization,0,클리핑|포화,,,0,0,1,,,0,0,557,214,8.45,end_turn,도구 미사용,"질문을 정확하게 이해하기 위해 추가 정보가 필요합니다. Q1.15라는 프로젝트나 실험에 대한 특정 맥락이나 데이터가 필요합니다. 현재 주어진 도구와 정보로는 해당 프로젝트의 정확도가 떨어진 구체적인 원인을 파악할 수 없습니다. 더 많은 맥락이나 관련 데이터를 제공해주시면 도움이 될 것입니다.   그러나, 일반적으로 정확도가 떨어지는 원인은 다음과 같은 것들이 있을 수 있습니다: - 잘못된 데이터 준비 (예: 오버피팅, 언더피팅) - 모델 아키텍처의 문제 - 학습률 설정이 잘못됨 - 과적합 (overfitting)  이러한 일반적인 원인들 중 일부가 Q1.15의 경우에도 적용될 수 있지만, 정확한 답변을 위해서는 더 구체적인 정보가 필요합니다."
s5,docs,vanilla-rnn-fpga-quantization,0,66,query_db,,2,0,2,,,0,0,1267,158,6.3,end_turn,도구 구성 한계,FPGA에서 tanh를 어떻게 처리했는지에 대한 구체적인 정보는 제공된 데이터에서 찾을 수 없습니다.  최종 표의 엔트리는 63개입니다.  sourceMapping: metrics 테이블의 모든 엔트리 수
s6,docs,depth16-rgb-mapping,0,6/6/4,query_db,,2,1,3,,,0,0,2395,495,19.62,end_turn,도구 구성 한계,현재 주어진 조건에 맞는 프로젝트가 존재하지 않습니다. 따라서 16비트 심도를 RGB로 담는 세 가지 매핑에 대한 정보와 잡음이 있는 채널에서 가장 강한 매핑을 직접적으로 찾을 수 없습니다.  더 넓은 범위에서 검색하거나 다른 키워드를 사용하여 다시 시도해야 할 것입니다. 더 자세한 정보를 얻으려면 프로젝트 문서나 관련 논문을 직접 참조해야 할 수도 있습니다.
s7,docs,robust-image-classification,0,0.24,,,0,0,1,,,0,0,559,313,12.34,end_turn,도구 미사용,"질문의 정확한 답변을 위해 관련 데이터를 직접적으로 찾는 것은 현재 가능한 범위를 벗어나 있습니다. 하지만 일반적인 맥락에서 추론해보면, salt-and-pepper 노이즈 비율이 높아질수록 이미지의 중요한 특징들이 파괴되므로 다양한 복구 방법들 간의 성능 차이가 줄어들 수 있습니다. 이는 특정 복구 알고리즘이 다른 알고리즘보다 우월하게 작동하던 차이점이 노이즈 때문에 사라질 수 있음을 의미합니다. 그러나 이는 일반적인 추측이며, 실제 프로젝트 데이터를 통해 확인해야 합니다.  주어진 도구로는 해당 질문에 대한 구체적인 답변을 제공하기 어렵습니다. 더 자세한 정보를 얻으려면 프로젝트 문서나 논문을 직접 참조해야 할 것입니다.   도구로 확인 가능한 범위 내에서는 salt-and-pepper 노이즈 비율이 0.5일 때의 복구 성능을 보여주는 데이터를 제공할 수 없습니다. 따라서 이 질문에 대한 명확한 답변을 위해서는 추가적인 분석이나 데이터가 필요합니다.  근거: 도구로 확인 가능한 범위 내에서는 salt-and-pepper 노이즈 비율이 0.5일 때의 복구 성능을 보여주는 데이터를 제공하지 못함."
s8,docs,agv-grid-localization,0,170,query_db,,1,0,2,,,0,0,1335,223,8.86,end_turn,도구 구성 한계,AGV 격자 위치 추정에 대한 특정 프로젝트를 찾지 못했습니다. 다른 관련 키워드나 더 넓은 범위의 도메인을 사용하여 다시 시도해야 할 수 있습니다. 현재 주어진 정보로는 AGV 격자 위치 추정에서 작업대를 찾는 방법과 그 한계에 대해 설명할 수 없습니다.  근거: repos 테이블 검색 결과 (domain: 'AGV grid localization')
s9,docs,yopar-edge-service,1,,query_db,,1,0,2,,,0,0,1360,491,19.4,end_turn,,"주어진 정보에 따르면, C++로 작성된 프로젝트 중 하나는 알고리즘 분야에 속하며, 이는 엣지 컴퓨팅과 직접적인 연관성이 없어 보입니다. 따라서, 엣지 서비스에서 TensorRT 엔진 캐시를 git에 커밋하지 않는 이유에 대한 직접적인 근거는 제공되지 않았습니다.  TensorRT 엔진 캐시를 git에 커밋하지 않는 일반적인 이유는 다음과 같습니다: - **동적 생성**: TensorRT 엔진 캐시는 실행 시점에서 동적으로 생성되는 경우가 많아, 소스 코드 관리 시스템에 저장할 필요가 없습니다. - **크기**: 엔진 캐시는 종종 큰 크기를 가지므로, 이를 버전 관리 시스템에 저장하는 것은 비효율적일 수 있습니다. - **보안**: 일부 캐시 데이터는 민감한 정보를 포함할 수 있어 공개 저장소에 커밋하는 것이 위험할 수 있습니다.  이러한 일반적인 이유들이 적용될 수 있지만, 특정 프로젝트의 상황에 따라 다른 이유도 있을 수 있습니다.  근거: repos 테이블, domain 열"
s10,docs,jpeg-dct-compression,0,rate,query_db,,1,0,2,,,0,0,1433,379,15.0,end_turn,도구 구성 한계,"SQL 쿼리 결과에 따르면 'JPEG'와 'subband optimal QP search'라는 키워드를 모두 포함하는 설명이 있는 프로젝트가 존재하지 않습니다. 따라서 해당 프로젝트의 특정 세부 사항을 직접적으로 찾을 수 없습니다.  그러나 일반적인 JPEG 압축에서 서브밴드 최적 QP 탐색은 각 서브밴드의 양자화 오류를 최소화하기 위해 수행되며, 이 경우 주로 사용되는 지표는 MSE(Mean Squared Error)입니다. 따라서 이 프로젝트에서도 MSE를 최소화하는 것이 목표일 가능성이 높습니다.  근거: repos 테이블, ""summary"" 열 검색 결과 (결과 없음)"
d11,db,rasr-region-adaptive-sr,0,UUDCNN|31.1,query_db,1,1,0,2,,,0,0,1283,144,5.75,end_turn,생성 실패,"초해상도 업스케일러 관련 PSNR 데이터가 현재 존재하지 않습니다. 더 넓은 범위에서 검색하거나 다른 평가 지표를 사용하여 모델을 비교해야 할 수 있습니다.   근거: metrics 테이블 검색 결과 (SQL: `SELECT repo, value FROM metrics WHERE name = 'PSNR' AND condition LIKE '%초해상도%' ORDER BY value DESC LIMIT 1`)"
