id,route,gold,correct,missing,first_tool,tool_ok,n_calls,n_errors,turns,retrieved,recall3,recovered,verifier,in_tok,out_tok,latency_s,stop_reason,failure,answer
d1,db,rasr-region-adaptive-sr,0,31.57|28.15,query_db,1,1,0,2,,0,0,0,1864,163,6.49,end_turn,생성 실패,"MRIMCNN이 무작위 선택 대비 2단 재구성에서 PSNR이 3.38dB 개선되었다. (MRIMCNN PSNR: 26.77dB, 무작위 선택 PSNR: 23.39dB)  근거: metrics 테이블, name='PSNR' 행"
d2,db,,1,,query_db,1,1,0,2,,,0,0,1828,100,4.04,end_turn,,PSNR이 30dB를 넘은 프로젝트는 다음과 같습니다:  - rasr-region-adaptive-sr - gaps-uav-restoration  이 프로젝트들은 여러 번 PSNR이 30dB 이상을 달성했습니다.   근거: SQL 결과 행
d3,db,,1,,query_db,1,1,0,2,,,0,0,1764,54,2.21,end_turn,,기간이 가장 긴 프로젝트는 Algorithm-training입니다. (레포명: Algorithm-training)
d4,db,,1,,query_db,1,1,0,2,,,0,0,1762,86,3.47,end_turn,,"주 언어가 Python이 아닌 프로젝트들은 다음과 같습니다:  - digital-modulation-ber - vanilla-rnn-fpga-quantization - Algorithm-training  근거: repos 테이블, language != 'Python' 조건의 결과ROWS"
d5,db,,1,,query_db,1,1,0,2,,,0,0,1780,95,3.84,end_turn,,accuracy를 지표로 기록한 프로젝트는 다음과 같습니다:  1. robust-image-classification 2. tre-deepfake-detection 3. vanilla-rnn-fpga-quantization 4. yopar-attribute-recognition  [metrics 테이블의 rows]
d6,db,vanilla-rnn-fpga-quantization,1,,query_db,1,1,0,2,,0,0,0,3811,208,8.59,end_turn,,"DB에서 Q1.15와 Q4.12의 정수 데이터패스 정확도를 찾는데 필요한 정보가 없었습니다. 그러나 fallback_rows에서 Q1.15와 Q4.12에 대한 정확도 정보를 찾을 수 있었습니다:  - Q1.15 정수 데이터패스의 정확도는 0.6272입니다. - Q4.12 정수 데이터패스의 정확도는 0.675입니다.  근거: metrics 테이블, fallback_rows"
d7,db,,1,,query_db,1,1,0,2,,,0,0,1845,132,5.3,end_turn,,"MSE가 정확히 0으로 측정된 조건이 있는 프로젝트는 다음과 같습니다:  1. **depth16-rgb-mapping**: 방법3 6/6/4 비트필드, 무손상 채널 2. **jpeg-dct-compression**: 3단 sum/difference 변환 왕복(역변환 정확성)  근거: SQL 결과 행"
d8,db,yopar-attribute-recognition,0,0.885,query_db,1,1,0,2,,0,0,0,1783,97,3.89,end_turn,생성 실패,실제로 채택한 버전의 평균 정확도 데이터가 없습니다. 더 구체적인 조건이나 다른 관련 정보를 제공해 주시면 도움이 될 수 있습니다.  근거: query_db 결과 행
d9,db,digital-modulation-ber,1,,query_db,1,2,1,3,digital-modulation-ber,1,0,0,3624,270,10.86,end_turn,,"AWGN 환경에서 BER 1e-3을 달성하기 위해 가장 많은 EbNo가 필요한 변조 방식은 256-QAM이며, 그 값은 19.3 dB입니다.  근거: digital-modulation-ber / 3.1 Uncoded, perfect CSI"
d10,db,gaps-uav-restoration,1,,query_db,1,1,0,2,,0,0,0,1818,103,4.14,end_turn,,"PSNR이 가장 높게 나온 조건은 '임펄스 p=0.05, median 3x3 (기준 잡음영상)'이며, 그때의 PSNR 값은 43.92dB입니다. (metrics, 조건 및 값)"
