id,route,gold,correct,missing,first_tool,tool_ok,n_calls,n_errors,turns,retrieved,recall3,recovered,verifier,in_tok,out_tok,latency_s,stop_reason,failure,answer
d1,db,rasr-region-adaptive-sr,1,,query_db,1,5,0,6,rasr-region-adaptive-sr|gaps-uav-restoration,1,0,0,10340,761,30.95,end_turn,,"README 파일에서 MRIMCNN과 무작위 선택에 대한 PSNR 비교 정보를 찾았습니다. 두 단계 재구성에서 MRIMCNN이 적용된 파이프라인의 평균 PSNR은 31.57dB이고, 무작위 선택이 적용된 파이프라인의 평균 PSNR은 28.15dB입니다.  따라서, MRIMCNN이 무작위 선택 대비 PSNR이 3.42dB 개선되었습니다.  근거: rasr-region-adaptive-sr 리포지토리의 ""Results"" 섹션, ""Two-stage reconstruction (128 → 256 → 512, masks applied at both passes, PSNR on the 512² output)"" 표"
d2,db,,1,,query_db,1,1,0,2,,,0,0,1716,134,5.37,end_turn,,"PSNR이 30dB를 넘은 프로젝트는 다음과 같습니다:  - rasr-region-adaptive-sr - gaps-uav-restoration  각 프로젝트에서 여러 조건 하에 PSNR이 30dB를 초과했습니다. 더 자세한 정보는 각 프로젝트의 데이터를 확인하시면 됩니다.   (레포명: rasr-region-adaptive-sr, gaps-uav-restoration)"
d3,db,,1,,query_db,1,1,0,2,,,0,0,1652,60,2.45,end_turn,,기간이 가장 긴 프로젝트는 Algorithm-training입니다. (duration_days 기준) (레포명: Algorithm-training)
d4,db,,1,,query_db,1,1,0,2,,,0,0,1650,86,3.47,end_turn,,"주 언어가 Python이 아닌 프로젝트들은 다음과 같습니다:  - digital-modulation-ber - vanilla-rnn-fpga-quantization - Algorithm-training  근거: repos 테이블, language != 'Python' 조건의 결과ROWS"
d5,db,,1,,query_db,1,1,0,2,,,0,0,1668,93,3.74,end_turn,,accuracy를 지표로 기록한 프로젝트는 다음과 같습니다:  1. robust-image-classification 2. tre-deepfake-detection 3. vanilla-rnn-fpga-quantization 4. yopar-attribute-recognition  (레포명: repo)
d6,db,vanilla-rnn-fpga-quantization,0,0.6272|0.675,query_db,1,1,0,2,,0,0,0,1804,198,7.9,end_turn,생성 실패,"검색 조건에 맞는 정확도 데이터가 존재하지 않습니다. 다른 방법으로 다시 찾아보세요.   힌트: condition 열은 자유 서술 형식이므로 정확한 일치가 어려울 수 있습니다. LIKE '%키워드%'와 같이 키워드를 포함하는 모든 행을 검색하거나, 특정 repo의 모든 행을 가져와서 필요한 정보를 찾는 것을 고려해 보세요.   SQL 결과: ``` value ------ (결과 없음) ```"
d7,db,,1,,query_db,1,1,0,2,,,0,0,1765,138,5.53,end_turn,,"MSE가 정확히 0으로 측정된 조건이 있는 프로젝트는 다음과 같습니다:  1. **depth16-rgb-mapping**: 방법3 6/6/4 비트필드, 무손상 채널 2. **jpeg-dct-compression**: 3단 sum/difference 변환 왕복(역변환 정확성)  근거: SQL 결과 행"
d8,db,yopar-attribute-recognition,0,0.885,query_db,1,1,0,2,,0,0,0,1685,112,4.5,end_turn,생성 실패,"실际采用的版本在面部特征识别中的平均准确率无法从数据库中获取，可能是因为没有相关数据或条件筛选未命中任何记录。 工具返回结果为： {""columns"": [""avg_accuracy""], ""rows"": [[null]]}"
d9,db,digital-modulation-ber,1,,query_db,1,1,0,2,,0,0,0,1724,136,5.43,end_turn,,"256-QAM 변조 방식이 AWGN 환경에서 BER 1e-3을 달성하기 위해 가장 많은 Eb/No를 필요로 하며, 그 값은 19.3dB입니다.  sourceMapping: digital-modulation-ber, 조건: AWGN BER 1e-3 달성 필요 Eb/No, 256-QAM"
d10,db,gaps-uav-restoration,1,,query_db,1,1,0,2,,0,0,0,1706,95,3.83,end_turn,,"PSNR이 가장 높게 나온 조건은 '임펄스 p=0.05, median 3x3 (기준 잡음영상)'이며, 그때의 PSNR 값은 43.92dB입니다."
s1,docs,gaps-uav-restoration,0,median|bilateral,search_docs,1,1,0,2,gaps-uav-restoration,1,0,0,4728,392,16.26,end_turn,생성 실패,"잡음 종류에 따라 가장 효과적인 필터가 다르게 나타났습니다.   - **임펄스 잡음 (salt-and-pepper noise)**: 중앙값 필터가 가장 효과적이었습니다. 예를 들어, 임펄스 확률이 0.05인 이미지에서 중앙값 필터의 PSNR은 43.92dB로 가장 높았습니다. 임펄스 확률이 0.1인 이미지에서도 중앙값 필터가 가장 높은 PSNR을 보였습니다. - **가우시안 잡음**: 양자화된 가우시안 필터가 가장 효과적이었습니다. 예를 들어, 가우시안 표준편차가 10인 이미지에서 양자화된 가우시안 필터의 PSNR은 33.03dB로 가장 높았습니다. 가우시안 표준편차가 30인 이미지에서도 양자화된 가우시안 필터가 가장 높은 PSNR을 보였습니다.  이러한 차이는 각 필터의 특성에 따른 것입니다. 중앙값 필터는 임펄스 잡음을 잘 처리하지만, 가우시안 잡음은 그렇지 않습니다. 반면, 양자화된 가우시안 필터는 가우시안 잡음을 잘 처리하지만, 임펄스 잡음은 그렇지 않습니다.  근거: `gaps-uav-restoration` 리포지토리의 ""1. Denoising (PSNR, dB — higher is better)"" 문단"
