id,route,gold,correct,missing,first_tool,tool_ok,n_calls,n_errors,turns,retrieved,recall3,recovered,verifier,in_tok,out_tok,latency_s,stop_reason,failure,answer
d1,db,rasr-region-adaptive-sr,0,31.57|28.15,query_db,1,1,0,2,,,0,0,1356,180,3.69,end_turn,생성 실패,"조회한 결과, MRIMCNN 프로젝트의 2단 재구성에서 초해상도 프로젝트와 무작위 선택 대비 PSNR 개선량에 대한 데이터가 없습니다. 조건을 조금 더 넓혀보거나, 특정 조건을 직접 입력해보시는 것이 좋을 것 같습니다."
d2,db,,0,rasr-region-adaptive-sr|gaps-uav-restoration,query_db,1,1,1,2,,,0,0,1174,81,1.7,end_turn,도구 실패,"현재 데이터베이스에서 PSNR 값을 찾을 수 없습니다. 다른 메트릭을 확인하거나, PSNR 관련 정보가 있는지 다시 한번 확인해주세요."
d3,db,,1,,query_db,1,1,0,2,,,0,0,1178,78,1.63,end_turn,,"기간이 가장 긴 프로젝트는 ""Algorithm-training""입니다. (레포명: Algorithm-training, 도구: query_db, 문단: SELECT name FROM repos ORDER BY duration_days DESC LIMIT 1)"
d4,db,,1,,query_db,1,1,0,2,,,0,0,1392,134,2.77,end_turn,,주 언어가 Python이 아닌 프로젝트는 다음과 같습니다:  - `digital-modulation-ber`: MATLAB로 작성된 프로젝트. 주 도메인은 통신입니다. - `vanilla-rnn-fpga-quantization`: C로 작성된 프로젝트. 주 도메인은 양자화입니다. - `Algorithm-training`: C++로 작성된 프로젝트. 주 도메인은 알고리즘입니다.  근거:/repos(rows)
d5,db,,1,,query_db,1,1,0,2,,,0,0,1192,90,1.87,end_turn,,accuracy를 지표로 기록한 프로젝트는 다음과 같습니다:  - robust-image-classification - tre-deepfake-detection - vanilla-rnn-fpga-quantization - yopar-attribute-recognition (레포명과 문단 제목)
d6,db,vanilla-rnn-fpga-quantization,1,,query_db,1,1,0,3,,,0,2,2252,402,8.22,end_turn,,"Q1.15의 정수 데이터패스 정확도는 0.675이고, Q4.12의 정수 데이터패스 정확도는 0.6272입니다. (레포명: metrics, 문단 제목: SELECT DISTINCT m.baseline, m.value FROM metrics m JOIN repos r ON m.repo = r.name WHERE m.name = 'accuracy' AND m.condition LIKE '%Q1.15%' UNION SELECT DISTINCT m.baseline, m.value FROM metrics m JOIN repos r ON m.repo = r.name WHERE m.condition LIKE '%Q4.12%' AND m.name = 'accuracy' ORDER BY m.baseline DESC, m.value DESC)"
d7,db,,1,,query_db,1,1,0,2,,,0,0,1212,102,2.12,end_turn,,"MSE가 정확히 0으로 측정된 조건이 있는 프로젝트는 ""depth16-rgb-mapping""과 ""jpeg-dct-compression""입니다. (레포명과 문단 제목)"
d8,db,yopar-attribute-recognition,0,0.885,query_db,1,1,0,2,,,0,0,1194,80,1.67,end_turn,생성 실패,채택된 버전의 평균 정확도를 찾는 데 필요한 데이터가 존재하지 않습니다. 따라서 평균 정확도를 계산할 수 없습니다.
d9,db,digital-modulation-ber,0,256|19.3,query_db,1,1,0,3,,,0,1,2190,301,6.17,end_turn,생성 실패,"현재 데이터베이스에는 AWGN 환경에서 BER가 1e-3에 도달하는 Eb/No 값을 제공하는 정보가 없습니다. 따라서 정확한 값을 제공할 수 없습니다. 다른 조건을 넓혀 다시 시도하거나, 직접 입력하여 검색해 보세요.  근거: {""columns"": [""condition"", ""value""], ""rows"": [], ""hint"": ""조건에 맞는 행이 없습니다. 포기하지 말고 조건을 넓혀 다시 조회하세요. condition은 자유 서술이라 정확히 일치하지 않을 수 있으니 LIKE '%키워드%'를 쓰거나, WHERE 없이 해당 repo의 행을 전부 본 뒤 고르는 편이 확실합니다.""}"
d10,db,gaps-uav-restoration,1,,query_db,1,1,0,2,,,0,0,1232,118,2.44,end_turn,,"잡음 제거 실험에서 PSNR이 가장 높게 나온 조건은 ""임펄스 p=0.05, median 3x3 (기준 잡음영상)""이며, 그때의 PSNR 값은 43.92 dB입니다. (레포명: metrics, 문단 제목: PSNR)"
