id,route,gold,correct,missing,first_tool,tool_ok,n_calls,n_errors,turns,retrieved,recall3,recovered,verifier,in_tok,out_tok,latency_s,stop_reason,failure,answer
d1,db,rasr-region-adaptive-sr,0,31.57|28.15,query_db,1,1,0,2,,0,0,0,1864,163,6.67,end_turn,생성 실패,"MRIMCNN이 무작위 선택 대비 2단 재구성에서 PSNR이 3.38dB 개선되었다. (MRIMCNN PSNR: 26.77dB, 무작위 선택 PSNR: 23.39dB)  근거: metrics 테이블, name='PSNR' 행"
d2,db,,1,,query_db,1,1,0,2,,,0,0,1828,100,4.03,end_turn,,PSNR이 30dB를 넘은 프로젝트는 다음과 같습니다:  - rasr-region-adaptive-sr - gaps-uav-restoration  이 프로젝트들은 여러 번 PSNR이 30dB 이상을 달성했습니다.   근거: SQL 결과 행
d3,db,,1,,query_db,1,1,0,2,,,0,0,1764,54,2.22,end_turn,,기간이 가장 긴 프로젝트는 Algorithm-training입니다. (레포명: Algorithm-training)
d4,db,,1,,query_db,1,1,0,2,,,0,0,1762,86,3.47,end_turn,,"주 언어가 Python이 아닌 프로젝트들은 다음과 같습니다:  - digital-modulation-ber - vanilla-rnn-fpga-quantization - Algorithm-training  근거: repos 테이블, language != 'Python' 조건의 결과ROWS"
d5,db,,1,,query_db,1,1,0,2,,,0,0,1780,95,3.83,end_turn,,accuracy를 지표로 기록한 프로젝트는 다음과 같습니다:  1. robust-image-classification 2. tre-deepfake-detection 3. vanilla-rnn-fpga-quantization 4. yopar-attribute-recognition  [metrics 테이블의 rows]
d6,db,vanilla-rnn-fpga-quantization,1,,query_db,1,1,0,2,,0,0,0,4842,130,5.67,end_turn,,Q1.15와 Q4.12의 정수 데이터패스 정확도는 각각 0.6272와 0.675이다. <tool_call><tool_call>
d7,db,,1,,query_db,1,1,0,2,,,0,0,1845,132,5.29,end_turn,,"MSE가 정확히 0으로 측정된 조건이 있는 프로젝트는 다음과 같습니다:  1. **depth16-rgb-mapping**: 방법3 6/6/4 비트필드, 무손상 채널 2. **jpeg-dct-compression**: 3단 sum/difference 변환 왕복(역변환 정확성)  근거: SQL 결과 행"
d8,db,yopar-attribute-recognition,0,0.885,query_db,1,1,0,2,,0,0,0,1783,97,3.91,end_turn,생성 실패,실제로 채택한 버전의 평균 정확도 데이터가 없습니다. 더 구체적인 조건이나 다른 관련 정보를 제공해 주시면 도움이 될 수 있습니다.  근거: query_db 결과 행
d9,db,digital-modulation-ber,1,,query_db,1,2,1,3,digital-modulation-ber,1,0,0,3624,270,10.84,end_turn,,"AWGN 환경에서 BER 1e-3을 달성하기 위해 가장 많은 EbNo가 필요한 변조 방식은 256-QAM이며, 그 값은 19.3 dB입니다.  근거: digital-modulation-ber / 3.1 Uncoded, perfect CSI"
d10,db,gaps-uav-restoration,1,,query_db,1,1,0,2,,0,0,0,1818,103,4.15,end_turn,,"PSNR이 가장 높게 나온 조건은 '임펄스 p=0.05, median 3x3 (기준 잡음영상)'이며, 그때의 PSNR 값은 43.92dB입니다. (metrics, 조건 및 값)"
s1,docs,gaps-uav-restoration,0,median|bilateral,search_docs,1,1,0,2,gaps-uav-restoration,1,0,0,4646,180,7.69,end_turn,생성 실패,"GAPS 프로젝트에서 잡음 종류에 따른 필터 선택에 대한 정보를 찾아보니, 다음과 같이 설명되어 있습니다:  - **메디안 필터**는 임펄스 노이즈 감지 변형으로, 값이 정확히 0이나 255인 픽셀만 교체하므로 가우시안 노이즈 이미지는 거의 변화하지 않습니다. - 따라서, 메디안 필터는 임펄스 노이즈에 효과적이지만, 가우시안 노이즈에는 별로 효과적이지 않다는 것을 알 수 있습니다.  근거: `gaps-uav-restoration` 리포지토리의 Notes 문단"
s2,docs,tre-deepfake-detection,1,,query_db,0,1,0,2,,0,0,0,4822,230,9.71,end_turn,,"조건 C에 대한 딥페이크 탐지 성능을 보면, 생성기에 따라 성능이 다르게 나타납니다:  - SD 계열 생성기 (sdv4, sdv5, wukong)에서는 정확도가 0.788로 높게 나왔습니다. - 비SD 생성기 (adm, biggan, glide, midjourney, vqdm)에서는 정확도가 0.495로 낮게 나왔습니다.  즉, 조건 C에서는 SD 계열 생성기를 탐지하는 데 더 효과적이지만, 비SD 생성기는 잘 탐지하지 못하는 것으로 보입니다.  fallback_rows에서 가져온 정보입니다."
s3,docs,rasr-region-adaptive-sr,0,512,search_docs,1,1,0,2,vanilla-rnn-fpga-quantization,0,0,0,5782,365,15.36,end_turn,검색 실패,"검색 결과에서 직접적인 답변을 찾지 못했습니다. 하지만 다른 정보를 통해 추론해볼 수 있습니다. 초해상도 프로젝트에서 UAV가 한 번에 찍는 픽셀 크기와 서버가 최종적으로 만드는 해상도에 대한 정보는 다음과 같이 추론할 수 있습니다:  UAV가 한 번에 찍는 픽셀 크기는 일반적으로 고해상도 이미지 처리에서 작은 크기를 가집니다. 일반적인 UAV 카메라는 128x128 픽셀 크기로 이미지를 캡처하는 경우가 많습니다. 그리고 서버에서는 이러한 작은 이미지를 합성하여 더 큰 해상도의 이미지를 생성합니다. 따라서 서버가 최종적으로 만드는 해상도는 1024x1024 픽셀로 추론할 수 있습니다.  이 정보는 검색된 문서에서 직접적으로 언급되지 않았지만, 일반적인 초해상도 프로젝트에서의 패턴을 기반으로 추론하였습니다.  근거: 검색된 내용에서 직접적인 답변은 없으나, 일반적인 초해상도 프로젝트의 패턴을 기반으로 추론하였습니다."
