id,route,gold,correct,missing,first_tool,tool_ok,n_calls,n_errors,turns,retrieved,recall3,recovered,verifier,in_tok,out_tok,latency_s,stop_reason,failure,answer
d1,db,rasr-region-adaptive-sr,0,28.15,query_db,1,2,0,2,,0,0,0,1326,226,4.64,end_turn,생성 실패,"MRIMCNN 모델이 무작위 선택 대비 PSNR 값에서 약 0.02 증가했습니다.   첫 번째 질의에서 MRIMCNN 모델의 평균 PSNR 값은 31.57였습니다. 두 번째 질의에서 무작위 선택의 평균 PSNR 값은 31.55였습니다. 이 차이는 0.02입니다. (레포명: metrics, PSNR, SQL 결과 행: avg_psnr 및 avg_random)"
d2,db,,1,,query_db,1,1,0,2,,,0,0,1223,115,2.37,end_turn,,"PSNR이 30dB를 넘은 프로젝트는 ""rasr-region-adaptive-sr""와 ""gaps-uav-restoration""입니다. (레포명: rasr-region-adaptive-sr, gpa-uav-restoration)"
d3,db,,0,Algorithm-training,query_db,1,1,0,2,,,0,0,1202,54,1.16,end_turn,생성 실패,"기간이 가장 긴 프로젝트는 ""rasr-region-adaptive-sr""입니다."
d4,db,,0,digital-modulation-ber|Algorithm-training,search_docs,0,1,0,2,gaps-uav-restoration|robust-image-classification|vanilla-rnn-fpga-quantization,,0,0,3293,226,4.82,end_turn,도구 선택 실패,주 언어가 Python이 아닌 프로젝트는 다음과 같습니다:  1. `robust-image-classification`: 이 프로젝트에서는 Python이 아닌 스크립트를 사용하여 실험을 실행합니다. 2. `vanilla-rnn-fpga-quantization`: 이 프로젝트에서는 Python이 아닌 스크립트를 사용하여 가중치를 양자화하고 C 헤더 파일을 생성합니다. 3. `jpeg-dct-compression`: 이 프로젝트에서는 Python이 아닌 스크립트를 사용하여 JPEG 압축 실험을 수행합니다. 4. `agv-grid-localization`: 이 프로젝트에서는 Python이 아닌 스크립트를 사용하여 AGV 그리드 로케일라이제이션을 수행합니다.  이러한 정보는 각 프로젝트의 사용법 섹션에서 확인되었습니다.
d5,db,,1,,query_db,1,1,0,2,,,0,0,1224,138,2.85,end_turn,,"accuracy를 지표로 기록한 프로젝트는 다음과 같습니다:  - robust-image-classification - tre-deepfake-detection - vanilla-rnn-fpga-quantization - yopar-attribute-recognition  근거: {""name"": ""query_db"", ""arguments"": {""sql"": ""SELECT DISTINCT r.name FROM repos AS r JOIN metrics AS m ON r.name = m.repo WHERE m.name = 'accuracy'""}}"
d6,db,vanilla-rnn-fpga-quantization,1,,query_db,1,1,0,2,,0,0,0,1320,166,3.41,end_turn,,"RNN 양자화에서 Q1.15 정수 데이터패스의 정확도는 0.6272이고, Q4.12 정수 데이터패스의 정확도는 0.675입니다.  근거: metrics(name, condition, value, unit)에서 name='accuracy', condition이 'Q1.15'와 'Q4.12'를 포함하는 행"
d7,db,,1,,query_db,1,1,0,2,,,0,0,1232,113,2.34,end_turn,,"MSE가 정확히 0으로 측정된 조건이 있는 프로젝트는 `depth16-rgb-mapping`과 `jpeg-dct-compression`입니다. (레포명: depth16-rgb-mapping, jpeg-dct-compression)"
d8,db,yopar-attribute-recognition,0,0.885,query_db,1,1,0,2,,0,0,0,1211,93,1.94,end_turn,생성 실패,인상착의 속성 인식에서 실제로 채택한 버전의 평균 정확도를 찾는 데 필요한 데이터가 없습니다. 현재 프로젝트 내부에서 이 정보를 찾을 수 없습니다.
d9,db,digital-modulation-ber,0,256|19.3,query_db,1,1,0,2,,0,0,0,1249,124,2.58,end_turn,생성 실패,현재 데이터베이스에는 AWGN 환경에서 BER가 1e-3에 도달하는 Eb/No 값에 대한 정보가 없습니다. 다른 조건이나 변조 방식에 대한 데이터를 찾을 수 있습니다.
d10,db,gaps-uav-restoration,1,,query_db,1,1,0,2,,0,0,0,1250,115,2.39,end_turn,,"잡음 제거 실험에서 PSNR이 가장 높게 나온 조건은 ""임펄스 p=0.05, median 3x3 (기준 잡음영상)""으로, 그때의 PSNR 값은 43.92입니다. (레포명: metrics, 행: condition, value)"
s1,docs,gaps-uav-restoration,0,median,search_docs,1,1,0,2,gaps-uav-restoration,1,0,0,3796,614,12.81,end_turn,생성 실패,"잡음 종류에 따라 다양한 필터의 성능이 달랐습니다. 특히, 임펄스 잡음(p=0.05, p=0.1)과 가우시안 잡음(std=10, 30, 50)에 대해 3x3과 5x5 커널 크기의 필터들을 비교했습니다.  - **Impulse p=0.05**:    - 3x3 커널에서 **Bilateral C=75** 필터가 가장 높은 PSNR 값을 보였습니다.   - 5x5 커널에서도 **Bilateral C=75** 필터가 가장 높은 PSNR 값을 보였습니다.  - **Impulse p=0.1**:    - 3x3 커널에서 **Bilateral C=45** 필터가 가장 높은 PSNR 값을 보였습니다.   - 5x5 커널에서도 **Bilateral C=45** 필터가 가장 높은 PSNR 값을 보였습니다.  - **Gaussian std=10**:    - 3x3 커널에서 **Bilateral C=75** 필터가 가장 높은 PSNR 값을 보였습니다.   - 5x5 커널에서도 **Bilateral C=75** 필터가 가장 높은 PSNR 값을 보였습니다.  - **Gaussian std=30**:    - 3x3 커널에서 **Bilateral C=45** 필터가 가장 높은 PSN"
s2,docs,tre-deepfake-detection,0,wukong|biggan,,0,0,0,1,,0,0,0,569,35,0.74,end_turn,도구 미사용,"leton {""name"": ""search_docs"", ""arguments"": {""query"": ""딥페이크 탐지 조건 C"", ""k"": 5}} </tool_call>"
s3,docs,rasr-region-adaptive-sr,0,128|512,,0,0,0,1,,0,0,0,579,118,2.42,end_turn,도구 미사용,"초해상도 프로젝트의 구체적인 정보를 찾을 수 없습니다. 초해상도 프로젝트에서 UAV가 한 번에 찍는 픽셀 크기와 서버가 최종적으로 만드는 해상도에 대한 정보를 제공해 주시면 도움이 될 것 같습니다. 이 정보를 기반으로 프로젝트 문서를 검색하겠습니다.  leton {""name"": ""search_docs"", ""arguments"": {""query"": ""UAV 픽셀 크기"", ""k"": 5}} </tool_call>"
s4,docs,vanilla-rnn-fpga-quantization,0,클리핑|포화,query_db,0,1,0,2,,0,0,0,1214,79,1.66,end_turn,도구 선택 실패,현재 데이터에는 Q1.15의 정확도와 관련된 정보가 없습니다. 다른 정보를 제공해 주시면 도와드리겠습니다.
s5,docs,vanilla-rnn-fpga-quantization,1,,search_docs,1,1,0,2,vanilla-rnn-fpga-quantization,1,0,0,3695,447,9.37,end_turn,,"FPGA에서 tanh를 처리하기 위해 룩업 테이블(LUT)을 사용했습니다. tanh의 입력 `z`는 Q4.12 int16 형식으로 제한되어 있어, 가능한 모든 65,536가지 값에 대해 tanh의 값을 미리 계산하여 표에 넣었습니다. 이렇게 함으로써 실행 시에는 표를 한 번 읽기만 하면 됩니다.  표의 크기는 65,536 × 2바이트로 128 KB였지만, 여러 가지 방법으로 줄일 수 있습니다: 1. **대칭**: `z ≥ 0`만 저장하고 부호는 따로 저장하면 크기가 절반으로 줄어듭니다. 2. **자르기**: `|z| ≥ sat_bound`는 표의 마지막 값으로 고정하면 오차가 거의 발생하지 않습니다. 3. **간격 + 선형보간**: `step` 칸마다 하나씩만 저장하고 나머지는 보간합니다. `step`이 2의 거듭제곱이면 나눗셈이 시프트가 되어 하드웨어에서 효율적으로 처리됩니다.  최종적으로, `sat=4`, `step=256` 조건으로 66 엔트리(0.13 KB)로 tanh LUT을 생성하였으며, 이는 float `tanh`와 같은 일치율(0.9999)을 유지하면서 큰 공간 절약 효과를 얻었습니다.  참조된 문서:  - `tanh 룩업 테이블`: `vani"
s6,docs,depth16-rgb-mapping,1,,search_docs,1,1,0,2,depth16-rgb-mapping|vanilla-rnn-fpga-quantization,1,0,0,4404,397,8.4,end_turn,,"16비트 심도 이미지를 8비트 RGB 이미지로 변환하는 세 가지 방법은 다음과 같습니다:  1. **Byte Split**: 각 16비트 심도 픽셀을 3개의 8비트 채널로 나누어 저장합니다. 이 방법은 디자인에 손실이 발생하며, 오류는 255까지 제한됩니다. 2. **Spectral Wheel**: 심도 값을 1536개의 수준으로 양자화하여 3개의 채널에 걸쳐 평활하게 분배합니다. 이 방법은 약 10.6비트의 정보를 유지합니다. 3. **6/6/4 Bit-Field**: 16비트 심도 값을 3개의 8비트 채널로 완전히 저장합니다. 이 방법은 모든 정보를 유지하며 완전 손실이 없습니다.  잡음이 있는 채널에서 가장 강한 매핑 방법은 **6/6/4 Bit-Field**입니다. 이 방법은 모든 16비트 심도 값을 3개의 8비트 채널로 완전히 저장하므로, 잡음에도 불구하고 원래의 심도 정보를 완전히 유지합니다.  근거: `depth16-rgb-mapping` repo, ""3.1 Clean round-trip"" 문단"
s7,docs,robust-image-classification,1,,search_docs,1,1,0,2,robust-image-classification|agv-grid-localization|vanilla-rnn-fpga-quantization,1,0,0,3087,506,10.49,end_turn,,"salt-and-pepper 노이즈 비율이 0.5일 때 복구 방법들이 비슷해지는 이유는 노이즈가 이미지의 절반을 차지하게 되면서, 이미지의 순수한 정보와 노이즈 사이의 경계가 모호해진다는 것입니다. 이때, 다양한 복구 방법들이 노이즈를 제거하거나 최소화하는 방식이 유사해지게 됩니다.  이를 확인하기 위해, 노이즈 비율이 0.5일 때의 복구 방법 성능을 살펴보겠습니다.   ```json {   ""s&p ratio"": 0.50,   ""methods"": [     {""method"": ""06 no repair"", ""accuracy"": 0.232},     {""method"": ""07 majority"", ""accuracy"": 0.188},     {""method"": ""08 custom rules†"", ""accuracy"": 0.376},     {""method"": ""09 MRF"", ""accuracy"": 0.372}   ] } ```  노이즈 비율이 0.5일 때, 모든 복구 방법들의 정확도는 0.24~0.25 범위에 집중되어 있으며, 이는 4개 클래스 중 하나를 맞추는 데 필요한 임의의 정확도 수준입니다. 이는 노이즈가 이미지의 절반을 차지하면서 복구 방법들이 모두 비슷한"
