id,route,gold,correct,missing,first_tool,tool_ok,n_calls,n_errors,turns,retrieved,recall3,in_tok,out_tok,latency_s,stop_reason,failure,answer
d1,db,rasr-region-adaptive-sr,0,28.15,query_db,1,2,0,2,,0,1308,299,6.08,end_turn,생성 실패,"MRIMCNN의 PSNR은 31.57이고, 무작위 선택의 PSNR은 31.55입니다. 따라서 2단 재구성에서 MRIMCNN이 무작위 선택 대비 약 0.02 개선되었습니다.   첫 번째 요청의 결과:  ```sql SELECT AVG(value) AS avg_psnr FROM metrics WHERE name = 'PSNR' AND condition LIKE '%MRIMCNN%' AND condition LIKE '%2단 재구성%' ``` 결과: `avg_psnr` = 31.57  두 번째 요청의 결과:  ```sql SELECT AVG(value) AS avg_random FROM metrics WHERE name = 'PSNR' AND condition LIKE '%무작위 선택%' AND condition LIKE '%2단 재구성%' ``` 결과: `avg_random` = 31.55"
d2,db,,1,,query_db,1,1,0,2,,,1203,113,2.35,end_turn,,"PSNR이 30dB를 넘은 프로젝트는 ""rasr-region-adaptive-sr""와 ""gaps-uav-restoration""입니다. (레포명: rasr-region-adaptive-sr, gpa-uav-restoration)"
d3,db,,0,Algorithm-training,,0,0,0,1,,,558,32,0.67,end_turn,도구 미사용,"leton {""name"": ""query_db"", ""arguments"": {""sql"": ""SELECT name FROM repos ORDER BY ended - started DESC LIMIT 1""}} </tool_call>"
d4,db,,0,digital-modulation-ber|vanilla-rnn-fpga-quantization|Algorithm-training,search_docs,0,1,0,2,gaps-uav-restoration|robust-image-classification|vanilla-rnn-fpga-quantization,,3275,64,1.38,end_turn,도구 선택 실패,주 언어가 Python이 아닌 프로젝트는 없습니다. 위에서 검색한 결과는 모두 Python을 주 언어로 사용하는 프로젝트들입니다.
d5,db,,1,,query_db,1,1,0,2,,,1206,138,2.84,end_turn,,"accuracy를 지표로 기록한 프로젝트는 다음과 같습니다:  - robust-image-classification - tre-deepfake-detection - vanilla-rnn-fpga-quantization - yopar-attribute-recognition  근거: {""name"": ""query_db"", ""arguments"": {""sql"": ""SELECT DISTINCT r.name FROM repos AS r JOIN metrics AS m ON r.name = m.repo WHERE m.name = 'accuracy'""}}"
d6,db,vanilla-rnn-fpga-quantization,1,,query_db,1,1,0,2,,0,1302,167,3.41,end_turn,,"RNN 양자화에서 Q1.15 정수 데이터패스의 정확도는 0.6272이고, Q4.12 정수 데이터패스의 정확도는 0.675입니다.   근거: metrics(name, condition, value, unit)에서 name='accuracy', condition이 'Q1.15'와 'Q4.12'를 포함하는 행"
d7,db,,1,,query_db,1,1,0,2,,,1214,113,2.36,end_turn,,"MSE가 정확히 0으로 측정된 조건이 있는 프로젝트는 `depth16-rgb-mapping`과 `jpeg-dct-compression`입니다. (레포명: depth16-rgb-mapping, jpeg-dct-compression)"
d8,db,yopar-attribute-recognition,0,0.885,query_db,1,1,0,2,,0,1193,83,1.72,end_turn,생성 실패,채택된 버전의 평균 정확도를 찾는 데 필요한 정보가 제공되지 않았습니다. 관련 데이터가 없거나 다른 이름으로 기록되어 있을 가능성이 있습니다.
d9,db,digital-modulation-ber,0,256,query_db,1,1,0,2,,0,1572,562,11.42,end_turn,생성 실패,"AWGN信道中达到BER为1e-3所需的Eb/No值和对应的调制方式如下：  - 调制方式：digital-modulation-ber - Eb/No值：19.3 dB（最低） - Eb/No值：14.7 dB - Eb/No值：10.5 dB - Eb/No值：6.7 dB  这些值是从名为`digital-modulation-ber`的仓库中查询到的。具体的数值来源于metrics表中的value列，条件是name为'EbNo'且condition包含'BER 1e-3'。  参考：{""columns"": [""repo"", ""value""], ""rows"": [[""digital-modulation-ber"", 19.3], [""digital-modulation-ber"", 14.7], [""digital-modulation-ber"", 10.5], [""digital-modulation-ber"", 6.7]]}"
d10,db,gaps-uav-restoration,0,43.92,query_db,1,1,0,2,,0,1205,94,1.95,end_turn,생성 실패,"잡음 제거 실험에서 PSNR이 가장 높게 나온 조건은 '임펄스 p=0.05, median 3x3 (기준 잡음영상)'입니다. (metrics 테이블 참조)"
