id,route,gold,correct,missing,first_tool,tool_ok,n_calls,n_errors,turns,retrieved,recall3,in_tok,out_tok,latency_s,stop_reason,failure,answer
d1,db,rasr-region-adaptive-sr,0,31.57|28.15,search_docs,,2,0,2,gaps-uav-restoration|rasr-region-adaptive-sr,1,5251,278,6.1,end_turn,도구 구성 한계,"MRIMCNN과 무작위 선택 대비 PSNR은 다음과 같이 개선되었습니다:  - 256x256 해상도에서 +6.0 dB - 512x512 해상도에서 +3.4 dB  이 결과는 `gaps-uav-restoration` 프로젝트의 README에서 확인할 수 있습니다. 이 프로젝트에서는 512 → 256 → 128의 이미지 피라미드를 구성하고, 각 단계에서 예산 내에서 일부 패치만 전송하여 전체 해상도의 이미지를 복원합니다. MRIMCNN은 기울기 크기에 따라 패치를 선택하며, 이는 기존의 무작위 선택 방식보다 더 높은 PSNR 값을 제공합니다. (레포명: `gaps-uav-restoration`, 문단 제목: `2. Bandwidth-limited reconstruction (PSNR, dB)`)"
d2,db,,1,,search_docs,,1,0,2,rasr-region-adaptive-sr|gaps-uav-restoration,,3214,256,5.3,end_turn,,"PSNR이 30dB를 넘은 프로젝트는 다음과 같습니다:  1. `rasr-region-adaptive-sr` 프로젝트에서 UUDCNN 모델의 평균 PSNR은 31.10dB입니다. 2. `gaps-uav-restoration` 프로젝트에서:    - 3×3 커널의 Bilateral 필터(C=75)에서 Gaussian 노이즈 표준편차 50인 이미지의 초기 PSNR은 27.97dB입니다.    - 5×5 커널의 Bilateral 필터(C=75)에서 Gaussian 노이즈 표준편차 50인 이미지의 초기 PSNR은 27.95dB입니다.  근거:  - `rasr-region-adaptive-sr` 프로젝트의 ""Results"" 섹션 - `gaps-uav-restoration` 프로젝트의 ""Denoising (PSNR, dB — higher is better)"" 섹션"
d3,db,,0,Algorithm-training,,,0,0,1,,,369,87,1.78,end_turn,도구 미사용,"이 질문을 답변하기 위해 프로젝트의 시작일과 마지막 갱신일을 기반으로 기간을 계산해야 합니다. 그러나 현재 제공된 도구는 README 문서를 검색하는 것이므로, 프로젝트의 시작일과 마지막 갱신일을 얻기 위해서는 다른 도구를 사용해야 합니다. 따라서 이 질문에 대한 답변을 제공할 수 없습니다."
d4,db,,0,digital-modulation-ber|vanilla-rnn-fpga-quantization|Algorithm-training,search_docs,,2,0,2,vanilla-rnn-fpga-quantization|tre-deepfake-detection|gaps-uav-restoration,,5150,357,7.72,end_turn,도구 구성 한계,"주 언어가 Python이 아닌 프로젝트로는 `gaps-uav-restoration`와 `tre-deepfake-detection`이 있습니다.  `gaps-uav-restoration` 프로젝트에서는 주로 Bash 스크립트를 사용하여 이미지 복원 작업을 수행합니다. Python 코드는 명시적인 픽셀 루프를 사용하여 작성되어 있어 큰 이미지에서는 느리게 작동할 수 있습니다.  `tre-deepfake-detection` 프로젝트에서는 주로 Python 스크립트를 사용하지만, 데이터 처리와 모델 학습은 GPU 환경에서 이루어집니다. 주어진 정보로는 주 언어가 Python이 아닌 것으로 보입니다.  따라서 주 언어가 Python이 아닌 프로젝트는 `tre-deepfake-detection`입니다.  근거:  - `tre-deepfake-detection` 프로젝트의 `Reproducing` 섹션에서 ""Environment: Python 3.11"" 이외에 GPU 환경에서 작업이 이루어짐을 확인할 수 있습니다. - `gaps-uav-restoration` 프로젝트의 `Usage` 섹션에서 Python 스크립트가 주로 명시적인 픽셀 루프를 사용하여 작성되어 있다는 점을"
d5,db,,0,tre-deepfake-detection|yopar-attribute-recognition,search_docs,,1,0,2,vanilla-rnn-fpga-quantization|robust-image-classification|yopar-attribute-recognition,,5454,760,15.73,end_turn,도구 구성 한계,"다음 프로젝트들은 accuracy 지표를 기록하고 있습니다:  1. **vanilla-rnn-fpga-quantization**    - 합성 코퍼스: 최종 test accuracy는 1.00    - 실제 단어 리스트: 최종 test accuracy는 0.66 (릴리즈 가중치는 0.675)    - 근거:       ```json      {        ""repo"": ""vanilla-rnn-fpga-quantization"",        ""title"": ""결과"",        ""text"": ""..."",        ""score"": 4.818      }      ```  2. **robust-image-classification**    - 64² binary 입력: test accuracy는 0.668    - 64² binary + salt-and-pepper 노이즈:       - 0.05 비율: 0.628 (균형화된 정확성: 0.611)      - 0.10 비율: 0.617 (균형화된 정확성: 0.600)      - 0.25 비율: 0.584 (균형화된 정확성: 0.579)      - 0.50 비율: 0.232 (균형화된 정확성: 0.251)"
d6,db,vanilla-rnn-fpga-quantization,0,0.6272|0.675,,,0,0,1,,0,378,49,1.02,end_turn,도구 미사용,"leton {""name"": ""search_docs"", ""arguments"": {""query"": ""RNN 양자화 Q1.15 Q4.12 정수 데이터패스 정확도"", ""k"": 5}} </tool_call>"
d7,db,,1,,search_docs,,1,0,2,depth16-rgb-mapping|rasr-region-adaptive-sr|gaps-uav-restoration,,3950,185,3.86,end_turn,,"MSE가 정확히 0으로 측정된 조건은 다음과 같습니다:  1. `depth16-rgb-mapping` 프로젝트에서 3-level sum/difference 분할 변환의 역변환 결과입니다. 이는 ""1. Subband transform — invertibility"" 섹션에서 설명되어 있습니다.    - 근거: `""repo"": ""jpeg-dct-compression"", ""title"": ""1. Subband transform — invertibility"", ""text"": ""3-level sum/difference decomposition (64 subbands), both scan orders, reconstructed: | Order | Reconstruction MSE | | --- | --- | | horizontal-first | 0.0 | | vertical-first | 0.0 |""`"
d8,db,yopar-attribute-recognition,0,0.885,search_docs,,1,0,2,yopar-attribute-recognition|yopar-edge-service,1,2328,234,4.8,end_turn,도구 구성 한계,"현재 제공된 정보로는 인상착의 속성 인식에서 실제로 채택한 버전의 평균 정확도를 직접적으로 확인할 수 없습니다. 하지만 `yopar-attribute-recognition` 프로젝트에서 PAR 모델의 성능을 평가한 결과, PAR 모델의 평균 정확도는 38.781%입니다.  근거:  - repo: yopar-attribute-recognition - title: YOPAR - text: ""PAR 모델 학습 코드. Market-1501 + PETA 데이터셋으로 성별 / 상의색 / 하의색 / 소매 길이(4속성)를 예측하는 분류기를 학습하고 평가한다."" - score: 38.781"
d9,db,digital-modulation-ber,1,,search_docs,,1,0,2,digital-modulation-ber,1,2753,488,10.06,end_turn,,"AWGN 환경에서 BER 1e-3에 도달하기 위해 필요한 Eb/No 값은 다음과 같습니다:  - BPSK: 6.7 dB - QPSK: 6.7 dB - 16-QAM: 10.5 dB - 64-QAM: 14.7 dB - 256-QAM: 19.3 dB  이 정보는 `digital-modulation-ber` 프로젝트의 ""3.1 Uncoded, perfect CSI"" 섹션에서 얻었습니다. 해당 섹션에서 제공된 테이블을 참조할 수 있습니다."
d10,db,gaps-uav-restoration,0,43.92,search_docs,,1,0,2,gaps-uav-restoration,1,3116,184,3.81,end_turn,도구 구성 한계,"잡음 제거 실험에서 PSNR이 가장 높게 나온 조건은 다음과 같습니다:  - **노이즈 유형**: 가우시안 분산(std) = 50 - **커널 크기**: 3×3 - **필터 알고리즘**: 양방향 필터(Bilateral) C=75  이 조건에서는 PSNR 값이 **23.39 dB**로 가장 높게 나타났습니다.   근거:  - `gaps-uav-restoration` 프로젝트의 README 문서 (문단 제목: 1. Denoising (PSNR, dB — higher is better))"
